index,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
0,Taxi Driver,MOVIE,1976,R,113,8.3,795222
1,Monty Python and the Holy Grail,MOVIE,1975,PG,91,8.2,530877
2,Life of Brian,MOVIE,1979,R,94,8,392419
3,The Exorcist,MOVIE,1973,R,133,8.1,391942
4,Monty Python's Flying Circus,SHOW,1969,TV-14,30,8.8,72895
5,Dirty Harry,MOVIE,1971,R,102,7.7,153463
6,My Fair Lady,MOVIE,1964,G,170,7.8,94121
7,The Blue Lagoon,MOVIE,1980,R,104,5.8,69053
8,Bonnie and Clyde,MOVIE,1967,R,110,7.7,111189
9,The Professionals,MOVIE,1966,PG-13,117,7.3,16168
10,The Guns of Navarone,MOVIE,1961,,158,7.5,50150
11,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,7.6,30277
12,Richard Pryor: Live in Concert,MOVIE,1979,R,78,8.1,5141
13,The Long Riders,MOVIE,1980,R,99,6.9,11329
14,White Christmas,MOVIE,1954,,115,7.5,42373
15,Cairo Station,MOVIE,1958,,77,7.5,4385
16,The Queen,MOVIE,1968,,68,7.2,1117
17,Hitler: A Career,MOVIE,1977,PG,150,7.5,2416
18,FTA,MOVIE,1972,R,97,6.2,411
19,Saladin the Victorious,MOVIE,1963,,186,7.6,2470
20,Singapore,MOVIE,1960,,158,6.4,82
21,Dark Waters,MOVIE,1956,,120,6.7,590
22,Alexandriaâ€¦ Why?,MOVIE,1979,,133,7.2,1689
23,Raya and Sakina,MOVIE,1953,,105,6.8,231
24,No Longer Kids,MOVIE,1979,,235,9,943
25,Amrapali,MOVIE,1966,,120,6.7,225
26,Dostana,MOVIE,1980,,161,2.1,25
27,The Blazing Sun,MOVIE,1954,,100,7.4,1219
28,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,8.1,2144
29,The Return of the Prodigal Son,MOVIE,1976,,124,7.2,768
30,Prince,MOVIE,1969,,152,6.9,168
31,Manoranjan,MOVIE,1974,,162,6.5,236
32,"Beirut, Oh Beirut",MOVIE,1975,,110,6.5,106
33,We Are All for the Fatherland,MOVIE,1979,,74,6.2,43
34,Whispers,MOVIE,1980,,93,7.8,75
35,Lal Patthar,MOVIE,1971,,153,6.2,137
36,Ujala,MOVIE,1959,,142,6.7,78
37,Alibaba Aur 40 Chor,MOVIE,1979,,138,6.2,555
38,Professor,MOVIE,1962,,163,6.8,285
39,Chadi Jawani Budhe Nu,MOVIE,1976,,135,4.6,14
40,Bandie,MOVIE,1978,,141,4.2,35
41,Khoon Khoon,MOVIE,1973,,131,5.1,41
42,Top Gun,MOVIE,1986,PG,110,6.9,329656
43,Seinfeld,SHOW,1989,TV-PG,24,8.9,302700
44,Stand by Me,MOVIE,1986,R,89,8.1,392790
45,Once Upon a Time in America,MOVIE,1984,R,229,8.3,342335
46,When Harry Met Sally...,MOVIE,1989,R,96,7.7,212913
47,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,6.7,92647
48,Full Metal Jacket,MOVIE,1987,R,116,8.3,723306
49,Christine,MOVIE,1983,R,90,6.7,80945
50,A Nightmare on Elm Street,MOVIE,1984,R,91,7.4,230543
51,Knight Rider,SHOW,1982,TV-PG,51,6.9,33760
52,Awakenings,MOVIE,1990,PG-13,120,7.8,137549
53,Thomas & Friends,SHOW,1984,TV-Y,10,6.5,4948
54,Annie,MOVIE,1982,PG,127,6.6,44866
55,Pet Sematary,MOVIE,1989,R,103,6.5,102212
56,Saved by the Bell,SHOW,1989,TV-G,23,7.1,34854
57,She's Gotta Have It,MOVIE,1986,R,84,6.7,14277
58,Eddie Murphy Raw,MOVIE,1987,R,93,7.6,19646
59,Endless Love,MOVIE,1981,R,116,4.9,8374
60,Wheel of Fortune,SHOW,1983,TV-G,26,6.7,3126
61,Major Dad,SHOW,1989,TV-PG,24,6.4,2866
62,Fireman Sam,SHOW,1987,TV-Y,10,6.1,1759
63,Danger Mouse,SHOW,1981,TV-Y,15,7.4,3514
64,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,7.2,1242
65,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,7.3,1649
66,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,7.2,651
67,Tim Allen: Men Are Pigs,MOVIE,1990,,30,6,353
68,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,7.9,15186
69,The George McKenna Story,MOVIE,1988,,100,6,901
70,Unspeakable Acts,MOVIE,1990,,100,6,448
71,Waiting for the Hearse,MOVIE,1985,,87,8,6285
